_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID_x,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID_y
5e23b122f9af8b5fe4b973ca,0039,"Thu, 02 Jan 2020 21:28:24 GMT","Thu, 02 Jan 2020 21:54:33 GMT","Thu, 02 Jan 2020 21:49:32 GMT",0.956,2_39_123_23_2020-01-02 21:28:23.830730,0002,CA-313,2-39-123-23,America/Los_Angeles,000002170,400.0,8.0,20.0,332.0,"Thu, 02 Jan 2020 18:51:17 GMT",True,"Fri, 03 Jan 2020 00:23:01 GMT",743.0
5e23b122f9af8b5fe4b973cb,0039,"Thu, 02 Jan 2020 22:17:20 GMT","Fri, 03 Jan 2020 05:05:05 GMT","Thu, 02 Jan 2020 23:12:44 GMT",2.35,2_39_78_363_2020-01-02 22:17:20.170082,0002,CA-320,2-39-78-363,America/Los_Angeles,000001124,400.0,8.0,20.0,183.0,"Thu, 02 Jan 2020 21:28:36 GMT",True,"Fri, 03 Jan 2020 00:31:24 GMT",2170.0
5e23b122f9af8b5fe4b973cc,0039,"Thu, 02 Jan 2020 22:23:55 GMT","Fri, 03 Jan 2020 00:56:50 GMT","Fri, 03 Jan 2020 00:56:45 GMT",17.075,2_39_139_28_2020-01-02 22:23:55.420890,0002,CA-303,2-39-139-28,America/Los_Angeles,000000710,400.0,8.0,20.0,60.0,"Thu, 02 Jan 2020 22:17:38 GMT",True,"Thu, 02 Jan 2020 23:17:20 GMT",1124.0
5e23b122f9af8b5fe4b973cd,0039,"Fri, 03 Jan 2020 00:03:03 GMT","Fri, 03 Jan 2020 01:16:25 GMT","Fri, 03 Jan 2020 00:33:55 GMT",0.913,2_39_89_25_2020-01-03 00:03:03.221895,0002,CA-315,2-39-89-25,America/Los_Angeles,,261.0,41.76,160.0,458.0,"Thu, 02 Jan 2020 22:24:23 GMT",True,"Fri, 03 Jan 2020 06:01:55 GMT",710.0
5e23b122f9af8b5fe4b973ce,0039,"Fri, 03 Jan 2020 02:50:03 GMT","Fri, 03 Jan 2020 04:06:03 GMT","Fri, 03 Jan 2020 04:05:54 GMT",8.768,2_39_139_28_2020-01-03 02:50:03.120616,0002,CA-303,2-39-139-28,America/Los_Angeles,000001263,,,,,,,,
5e2502a2f9af8b63eb5a4de2,0039,"Fri, 03 Jan 2020 16:14:25 GMT","Sat, 04 Jan 2020 01:25:30 GMT","Fri, 03 Jan 2020 19:00:03 GMT",10.325,2_39_78_366_2020-01-03 16:14:25.439593,0002,CA-323,2-39-78-366,America/Los_Angeles,000003853,400.0,12.0,30.0,115.0,"Fri, 03 Jan 2020 02:50:53 GMT",True,"Fri, 03 Jan 2020 04:45:03 GMT",1263.0
5e2502a2f9af8b63eb5a4de3,0039,"Fri, 03 Jan 2020 16:19:10 GMT","Fri, 03 Jan 2020 18:08:03 GMT","Fri, 03 Jan 2020 18:09:02 GMT",0.84,2_39_79_380_2020-01-03 16:19:09.581564,0002,CA-489,2-39-79-380,America/Los_Angeles,,360.0,39.6,110.0,490.0,"Fri, 03 Jan 2020 16:15:03 GMT",True,"Sat, 04 Jan 2020 00:24:25 GMT",3853.0
5e2502a2f9af8b63eb5a4de4,0039,"Fri, 03 Jan 2020 16:37:06 GMT","Sat, 04 Jan 2020 00:47:15 GMT","Fri, 03 Jan 2020 18:05:49 GMT",4.426,2_39_89_25_2020-01-03 16:37:05.609840,0002,CA-315,2-39-89-25,America/Los_Angeles,000000743,,,,,,,,
5e2502a2f9af8b63eb5a4de5,0039,"Fri, 03 Jan 2020 17:14:49 GMT","Sat, 04 Jan 2020 01:38:06 GMT","Fri, 03 Jan 2020 17:43:15 GMT",0.807,2_39_79_379_2020-01-03 17:14:49.150327,0002,CA-327,2-39-79-379,America/Los_Angeles,,400.0,8.0,20.0,332.0,"Fri, 03 Jan 2020 16:37:26 GMT",True,"Fri, 03 Jan 2020 22:09:06 GMT",743.0
5e2502a2f9af8b63eb5a4de6,0039,"Fri, 03 Jan 2020 17:40:31 GMT","Fri, 03 Jan 2020 19:30:12 GMT","Fri, 03 Jan 2020 19:30:07 GMT",12.489,2_39_139_28_2020-01-03 17:40:30.774361,0002,CA-303,2-39-139-28,America/Los_Angeles,000000798,,,,,,,,
